구분,일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
당진매립장태양광,2018-01-05,0,0,0,0,0,0,0,0,26,178,305,428,468,459,399,196,61,0,0,0,0,0,0,0
당진매립장태양광,2018-01-06,0,0,0,0,0,0,0,0,29,176,330,439,490,471,390,228,68,0,0,0,0,0,0,0
당진매립장태양광,2018-01-07,0,0,0,0,0,0,0,0,24,76,210,340,215,173,136,102,25,0,0,0,0,0,0,0
당진매립장태양광,2018-01-08,0,0,0,0,0,0,0,0,0,83,145,182,134,131,228,66,0,0,0,0,0,0,0,0
당진매립장태양광,2018-01-09,0,0,0,0,0,0,0,0,0,76,227,306,216,302,172,118,41,0,0,0,0,0,0,0
당진매립장태양광,2018-01-10,0,0,0,0,0,0,0,0,0,0,2,24,44,57,86,69,22,0,0,0,0,0,0,0
당진매립장태양광,2018-01-11,0,0,0,0,0,0,0,0,1,53,99,175,241,217,175,160,55,0,0,0,0,0,0,0
당진매립장태양광,2018-01-12,0,0,0,0,0,0,0,0,0,27,76,220,356,398,338,219,73,0,0,0,0,0,0,0
당진매립장태양광,2018-01-13,0,0,0,0,0,0,0,0,0,8,106,314,302,172,248,195,64,0,0,0,0,0,0,0
당진매립장태양광,2018-01-14,0,0,0,0,0,0,0,0,12,119,285,412,366,404,339,173,73,0,0,0,0,0,0,0
당진매립장태양광,2018-01-15,0,0,0,0,0,0,0,0,30,158,277,281,376,383,362,252,108,7,0,0,0,0,0,0
당진매립장태양광,2018-01-16,0,0,0,0,0,0,0,0,10,112,123,137,131,80,34,33,18,0,0,0,0,0,0,0
당진매립장태양광,2018-01-17,0,0,0,0,0,0,0,0,10,69,88,180,336,216,325,203,68,0,0,0,0,0,0,0
당진매립장태양광,2018-01-18,0,0,0,0,0,0,0,0,7,95,178,220,340,365,296,154,56,0,0,0,0,0,0,0
당진매립장태양광,2018-01-19,0,0,0,0,0,0,0,0,39,174,340,407,488,439,363,244,99,6,0,0,0,0,0,0
당진매립장태양광,2018-01-20,0,0,0,0,0,0,0,0,20,131,274,347,377,330,228,210,84,3,0,0,0,0,0,0
당진매립장태양광,2018-01-21,0,0,0,0,0,0,0,0,20,128,320,413,446,413,327,191,79,1,0,0,0,0,0,0
당진매립장태양광,2018-01-22,0,0,0,0,0,0,0,0,23,114,264,285,188,270,162,60,2,0,0,0,0,0,0,0
당진매립장태양광,2018-01-23,0,0,0,0,0,0,0,0,16,190,337,448,541,536,414,246,96,4,0,0,0,0,0,0
당진매립장태양광,2018-01-24,0,0,0,0,0,0,0,0,43,209,343,382,389,389,350,254,131,6,0,0,0,0,0,0
당진매립장태양광,2018-01-25,0,0,0,0,0,0,0,0,36,201,377,503,551,535,467,277,97,8,0,0,0,0,0,0
당진매립장태양광,2018-01-26,0,0,0,0,0,0,0,0,22,117,369,387,383,419,377,308,124,10,0,0,0,0,0,0
당진매립장태양광,2018-01-27,0,0,0,0,0,0,0,0,41,208,375,501,555,538,464,312,124,2,0,0,0,0,0,0
당진매립장태양광,2018-01-28,0,0,0,0,0,0,0,0,44,204,359,464,495,486,351,176,68,8,0,0,0,0,0,0
